round,algo,per_error,abs_error,accuracy,skim_precision,skim_recall,detail_precision,detail_recall,read_precision,read_recall
0,LogTrainer,0.34612672918241566,2.5045871559633026,0.7341772151898734,0.4827586206896552,0.3684210526315789,1.0,0.5,0.6176470588235294,0.4375
0,SecondTrainerNoPat,0.2566455841079563,2.0,0.7848101265822784,0.5806451612903226,0.47368421052631576,0.8333333333333334,0.5,0.7567567567567568,0.5833333333333334
0,SecondTrainer,0.25405075695679036,1.871559633027523,0.7911392405063291,0.59375,0.5,0.8333333333333334,0.5,0.7631578947368421,0.6041666666666666
0,AlgoTrainerNoPat,0.264349794021163,2.1926605504587156,0.8037974683544303,0.6551724137931034,0.5,0.625,0.5,0.8108108108108109,0.625
0,AlgoTrainer,0.26838614042892467,1.981651376146789,0.7974683544303798,0.6206896551724138,0.47368421052631576,0.7142857142857143,0.5,0.8055555555555556,0.6041666666666666
0,Algo1,0.37549159354065065,2.1559633027522938,0.740506329113924,0.52,0.34210526315789475,0.3333333333333333,0.1,0.75,0.4375
0,Algo2,0.3407084877323906,2.963302752293578,0.7911392405063291,0.6538461538461539,0.4473684210526316,0.25,0.2,0.8823529411764706,0.625
0,Algo3,0.3280159403185603,2.779816513761468,0.810126582278481,0.6470588235294118,0.5789473684210527,0.5,0.5,0.7954545454545454,0.7291666666666666
0,SessionTrainer,0.3146896003507679,3.5045871559633026,0.7278481012658228,0.4772727272727273,0.5526315789473685,0.0,0.0,0.6521739130434783,0.625
0,SessionCatTrainer,0.0,0.0,0.759493670886076,0.509090909090909,0.7368421052631579,,0.0,0.6727272727272727,0.7708333333333334
1,LogTrainer,0.33241143465045764,2.2752293577981653,0.7278481012658228,0.46875,0.39473684210526316,1.0,0.5,0.5945945945945946,0.4583333333333333
1,SecondTrainerNoPat,0.25036753315154864,1.944954128440367,0.7974683544303798,0.6,0.47368421052631576,0.8333333333333334,0.5,0.8055555555555556,0.6041666666666666
1,SecondTrainer,0.25187679486031805,1.8807339449541285,0.810126582278481,0.6451612903225806,0.5263157894736842,0.7142857142857143,0.5,0.8157894736842105,0.6458333333333334
1,AlgoTrainerNoPat,0.25934124279302545,2.1009174311926606,0.7911392405063291,0.6206896551724138,0.47368421052631576,0.625,0.5,0.7837837837837838,0.6041666666666666
1,AlgoTrainer,0.26000927729064677,2.0458715596330275,0.8037974683544303,0.6451612903225806,0.5263157894736842,0.625,0.5,0.7948717948717948,0.6458333333333334
1,Algo1,0.37549159354065065,2.1559633027522938,0.740506329113924,0.52,0.34210526315789475,0.3333333333333333,0.1,0.75,0.4375
1,Algo2,0.3407084877323906,2.963302752293578,0.7911392405063291,0.6538461538461539,0.4473684210526316,0.25,0.2,0.8823529411764706,0.625
1,Algo3,0.3280159403185603,2.779816513761468,0.810126582278481,0.6470588235294118,0.5789473684210527,0.5,0.5,0.7954545454545454,0.7291666666666666
1,SessionTrainer,0.3532236876194314,3.4862385321100917,0.7215189873417721,0.4634146341463415,0.5,0.0,0.0,0.6511627906976745,0.5833333333333334
1,SessionCatTrainer,0.0,0.0,0.6962025316455697,,0.0,,0.0,,0.0
2,LogTrainer,0.376940696942246,2.6513761467889907,0.6835443037974683,0.36363636363636365,0.3157894736842105,1.0,0.3,0.5277777777777778,0.3958333333333333
2,SecondTrainerNoPat,0.2413372354141407,1.963302752293578,0.8227848101265823,0.6470588235294118,0.5789473684210527,1.0,0.5,0.8205128205128205,0.6666666666666666
2,SecondTrainer,0.24305363007381783,1.8073394495412844,0.810126582278481,0.6176470588235294,0.5526315789473685,0.7142857142857143,0.5,0.8048780487804879,0.6875
2,AlgoTrainerNoPat,0.25274602491648046,2.0091743119266057,0.810126582278481,0.6666666666666666,0.5263157894736842,0.7142857142857143,0.5,0.8108108108108109,0.625
2,AlgoTrainer,0.25686525267537647,2.018348623853211,0.810126582278481,0.65625,0.5526315789473685,0.7142857142857143,0.5,0.7948717948717948,0.6458333333333334
2,Algo1,0.37549159354065065,2.1559633027522938,0.740506329113924,0.52,0.34210526315789475,0.3333333333333333,0.1,0.75,0.4375
2,Algo2,0.3407084877323906,2.963302752293578,0.7911392405063291,0.6538461538461539,0.4473684210526316,0.25,0.2,0.8823529411764706,0.625
2,Algo3,0.3280159403185603,2.779816513761468,0.810126582278481,0.6470588235294118,0.5789473684210527,0.5,0.5,0.7954545454545454,0.7291666666666666
2,SessionTrainer,0.9910525835235929,2.944954128440367,0.6962025316455697,,0.0,,0.0,,0.0
2,SessionCatTrainer,0.0,0.0,0.6962025316455697,,0.0,0.25,0.1,0.75,0.0625
3,LogTrainer,0.38840855713033784,2.926605504587156,0.6708860759493671,0.3333333333333333,0.2894736842105263,1.0,0.3,0.5,0.375
3,SecondTrainerNoPat,0.2437408848896685,1.834862385321101,0.810126582278481,0.6451612903225806,0.5263157894736842,0.8333333333333334,0.5,0.8108108108108109,0.625
3,SecondTrainer,0.2413499922051373,1.9541284403669725,0.810126582278481,0.6363636363636364,0.5526315789473685,1.0,0.5,0.7894736842105263,0.625
3,AlgoTrainerNoPat,0.2552157355958823,2.110091743119266,0.7974683544303798,0.6333333333333333,0.5,0.625,0.5,0.7894736842105263,0.625
3,AlgoTrainer,0.2594316266934231,2.0,0.8291139240506329,0.696969696969697,0.6052631578947368,0.7142857142857143,0.5,0.825,0.6875
3,Algo1,0.37549159354065065,2.1559633027522938,0.740506329113924,0.52,0.34210526315789475,0.3333333333333333,0.1,0.75,0.4375
