userId,postId,endtime,index,MMF_y_inf,MMF_x_inf,MSF_y_inf,MSF_clk,time_1,time_2,time_3,MSG_tmy,MSG_sh,MSG_sy,MSG_clk,MSG_svt,read_level,n_word
P1,51FTStG39lZnkzC9R8PL,209,27,0.0019861961984519,0.0016559509569377,0.0331154980950334,0.0,0.0996216897856242,0.2292165583304824,0.7225097111520317,0,11.645125958378966,42.762322015334064,0,56,2.0,72
P1,51FTStG39lZnkzC9R8PL,209,28,0.0019861961984519,0.0016559509569377,0.0331154980950334,0.0,0.2761664564943253,0.2292165583304824,0.2408365703840105,0,11.035049288061336,39.24917853231109,0,52,2.0,80
P1,51FTStG39lZnkzC9R8PL,209,29,0.0019861961984519,0.0016559509569377,0.0331154980950334,0.0,0.3669609079445145,0.3123503250085528,0.0250003360260218,0,8.397590361445783,25.73986856516977,0,38,1.0,65
P1,51FTStG39lZnkzC9R8PL,209,30,0.0019861961984519,0.0016559509569377,0.0331154980950334,0.0,0.2572509457755359,0.2292165583304824,0.0116533824379359,0,1.872946330777656,7.936473165388827,0,14,0.0,60
P1,9SUnVCo023uXYQuBnU09,89,0,0.005919490013168,0.0058462078651685,0.0109036759909915,0.2,0.0,0.0,0.0,0,13.466593647316547,27.876232201533398,0,39,2.0,82
P1,9SUnVCo023uXYQuBnU09,89,1,0.005919490013168,0.0058462078651685,0.0109036759909915,0.2,0.0,0.0,0.0,0,17.456736035049282,35.345016429353755,0,44,2.0,110
P1,9SUnVCo023uXYQuBnU09,89,2,0.005919490013168,0.0058462078651685,0.0109036759909915,0.2,0.2448979591836734,0.1722900215362527,0.9999990563493156,0,14.249726177437037,36.263417305585975,0,57,1.0,83
P1,9SUnVCo023uXYQuBnU09,89,3,0.005919490013168,0.0058462078651685,0.0109036759909915,0.2,0.5678271308523409,0.6554199569274946,7.874008317711148e-07,0,18.86527929901424,35.3132530120482,1,38,2.0,122
P1,9SUnVCo023uXYQuBnU09,89,4,0.005919490013168,0.0058462078651685,0.0109036759909915,0.2,0.1872749099639856,0.1722900215362527,1.5624985255458061e-07,0,5.467688937568455,18.733844468784238,0,32,1.0,44
P1,BSvW3BYKfpWjDC0o7Hit,93,0,0.0119304196257169,0.0052755376344086,0.0423041138159676,0.0,0.0,0.0,0.0,0,6.688937568455643,12.501642935377875,0,17,1.0,30
